State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
,United States,"308,758,105","328,239,523","3,791,712","2,835,038","595,348",0,"595,348",,,"35,715,625","52,168,981","49,864,428","44,462,605",19.6,28.6,27.4,24.4,"26,472,261","59,472,748","63,756,905","70,920,162",12.0,27.0,28.9,32.1,"39,490,096",12.3,"12,000,470",16.8,"8,258,906","65,712",,,,,,,,,,,,,,,,
AL,Alabama,"4,780,125","4,903,185","57,313","53,879","2,772","9,387","12,159",11.7,11.0,"714,081","877,216","746,495","549,608",24.7,30.4,25.9,19.0,"458,922","1,022,839","993,344","845,772",13.8,30.8,29.9,25.5,"747,478",15.6,"233,890",21.9,"161,670","51,771",,,,,,,,,,,,,,,,
AL,Autauga County,"54,597","55,869",624,541,-16,270,254,11.2,9.7,"5,872","9,332","7,413","4,972",21.3,33.8,26.9,18.0,"4,291","12,551","10,596","9,929",11.5,33.6,28.4,26.6,"6,723",12.1,"2,040",15.9,"1,376","58,233",27092,28777,538,507,21372,22191,5514,6270,274,301,441,509,55,49,884,787
AL,Baldwin County,"182,265","223,234","2,304","2,326",80,"5,297","5,377",10.4,10.5,"17,258","28,428","28,178","22,146",18.0,29.6,29.3,23.1,"13,893","41,797","47,274","48,148",9.2,27.7,31.3,31.9,"22,360",10.1,"6,323",13.5,"4,641","59,871",108247,114987,2042,2125,96730,102373,10346,11008,1818,1785,1405,1946,180,187,5545,4989
AL,Barbour County,"27,455","24,686",256,312,13,-141,-128,10.3,12.6,"6,679","6,124","4,025","2,068",35.3,32.4,21.3,10.9,"4,812","6,396","4,676","2,080",26.8,35.6,26.0,11.6,"5,909",27.1,"2,050",41.0,"1,468","35,972",13064,11622,172,136,6517,5863,6432,5685,182,115,72,80,38,23,629,488
AL,Bibb County,"22,915","22,394",240,252,10,31,41,10.7,11.3,"4,984","4,838","2,756",962,36.8,35.7,20.4,7.1,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4,"4,101",20.3,"1,147",25.9,808,"47,918",11929,10465,124,139,8869,8551,3010,1897,106,101,49,48,28,12,343,280
AL,Blount County,"57,322","57,826",651,657,6,59,65,11.3,11.4,"9,960","12,136","8,371","3,235",29.6,36.0,24.8,9.6,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1,"9,324",16.3,"2,750",21.0,"2,067","52,902",28472,29354,379,435,27608,28559,658,618,400,420,147,165,60,37,2950,2632
AL,Bullock County,"10,911","10,101",109,109,-1,-72,-73,10.8,10.8,"2,992","2,667","1,325",586,39.5,35.2,17.5,7.7,"1,798","2,860","1,587",856,25.3,40.3,22.3,12.1,"2,537",30.0,825,39.9,591,"31,906",5508,4593,76,57,1696,1110,3753,3418,72,67,21,21,47,38,449,415
AL,Butler County,"20,940","19,448",213,272,18,-141,-123,10.9,13.9,"4,439","4,749","3,146","1,433",32.2,34.5,22.9,10.4,"2,066","6,244","3,279","2,230",15.0,45.2,23.7,16.1,"4,124",21.6,"1,460",34.6,"1,024","39,944",9024,10424,99,111,4915,5398,3941,4924,77,86,186,129,9,7,153,136
AL,Calhoun County,"118,526","113,605","1,269","1,532",14,-475,-461,11.1,13.4,"19,318","23,856","19,576","11,265",26.1,32.2,26.4,15.2,"12,315","25,940","26,233","14,620",15.6,32.8,33.2,18.5,"18,988",17.2,"5,878",24.6,"3,994","47,747",54481,59124,1143,1171,42381,45045,11846,13637,691,677,675,881,151,150,2358,2256
AL,Chambers County,"34,169","33,254",354,441,6,-265,-259,10.6,13.2,"8,778","7,863","5,517","2,339",35.8,32.1,22.5,9.5,"4,372","8,739","7,515","3,163",18.4,36.7,31.6,13.3,"6,415",19.6,"2,058",30.4,"1,538","42,015",15895,17359,208,213,9343,10009,6351,7276,132,118,274,160,17,13,472,399
AL,Cherokee County,"25,979","26,196",222,343,-3,306,303,8.5,13.1,"6,138","5,865","3,186","1,636",36.5,34.9,18.9,9.7,"3,478","7,598","5,391","2,407",18.4,40.3,28.6,12.8,"4,121",15.9,"1,135",23.3,795,"45,982",12926,13270,199,223,12218,12589,642,604,202,207,62,88,9,9,229,220
AL,Chilton County,"43,632","44,428",551,503,35,184,219,12.4,11.4,"8,757","9,264","5,307","2,574",33.8,35.8,20.5,9.9,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7,"7,044",16.0,"2,404",23.1,"1,643","49,692",21800,22628,321,290,19257,19985,2438,2508,236,226,144,166,64,43,1990,1646
AL,Choctaw County,"13,858","12,589",133,176,-2,-199,-201,10.5,13.8,"3,704","3,670","2,182","1,013",35.0,34.7,20.6,9.6,"1,737","3,515","2,964","1,113",18.6,37.7,31.8,11.9,"2,811",22.6,745,30.4,508,"39,808",5938,6651,46,46,3537,3734,2399,2906,32,31,17,24,2,3,55,73
AL,Clarke County,"25,833","23,622",266,324,-5,-232,-237,11.2,13.6,"5,165","6,667","3,733","2,137",29.2,37.7,21.1,12.1,"3,259","7,005","4,456","2,050",19.4,41.8,26.6,12.2,"4,281",18.4,"1,425",28.6,"1,014","43,822",11153,12469,112,116,6150,6565,4947,5818,95,122,69,74,7,11,162,148
AL,Clay County,"13,930","13,235",143,187,-2,-12,-14,10.8,14.1,"3,322","3,690","1,992",763,34.0,37.8,20.4,7.8,"2,205","3,577","2,678",999,23.3,37.8,28.3,10.6,"2,156",16.6,685,26.0,433,"40,562",6447,6788,131,152,5520,5758,949,1046,77,98,31,36,3,3,231,204
AL,Cleburne County,"14,972","14,910",187,189,-11,-86,-97,12.5,12.6,"3,536","3,417","1,701",879,37.1,35.8,17.8,9.2,"2,198","3,980","2,687","1,616",21.0,38.0,25.6,15.4,"1,945",13.3,591,17.9,427,"51,276",7340,7570,93,94,7083,7261,243,282,70,83,24,36,13,3,212,175
AL,Coffee County,"49,955","52,342",599,570,34,334,368,11.5,10.9,"7,755","7,571","7,985","5,574",26.8,26.2,27.6,19.3,"4,967","9,615","12,667","8,044",14.1,27.2,35.9,22.8,"7,734",15.0,"2,664",21.8,"1,927","57,299",25742,26600,861,778,20422,20732,4822,5108,679,692,567,761,181,138,2189,1982
AL,Colbert County,"54,428","55,241",630,719,73,256,329,11.4,13.0,"9,972","12,665","9,474","5,273",26.7,33.9,25.3,14.1,"5,783","14,740","11,366","7,070",14.8,37.8,29.2,18.1,"7,998",14.6,"2,204",19.4,"1,537","46,683",26408,28833,509,537,21899,23528,4378,5133,412,408,209,275,34,41,925,864
AL,Conecuh County,"13,236","12,067",123,182,1,-167,-166,10.1,14.9,"2,984","3,518","1,877",851,32.3,38.1,20.3,9.2,"1,384","4,516","1,805","1,128",15.7,51.1,20.4,12.8,"2,662",22.2,845,34.7,597,"41,539",5758,6309,82,82,3176,3222,2569,3080,68,59,29,28,6,5,150,127
AL,Coosa County,"11,756","10,663",89,122,13,42,55,8.4,11.5,"2,831","3,164","1,597",663,34.3,38.3,19.3,8.0,"1,652","3,327","2,221","1,059",20.0,40.3,26.9,12.8,"1,789",17.1,478,27.8,339,"42,024",5335,5328,71,79,3670,3584,1637,1726,72,60,20,26,10,13,152,128
AL,Covington County,"37,762","37,049",413,543,-5,235,230,11.2,14.7,"8,115","8,473","5,975","3,142",31.6,33.0,23.2,12.2,"4,366","9,819","8,119","4,020",16.6,37.3,30.8,15.3,"6,269",17.2,"2,133",26.6,"1,499","44,836",17927,19122,317,313,15537,16371,2314,2674,272,257,115,127,12,11,342,345
AL,Crenshaw County,"13,893","13,772",137,179,3,-14,-11,9.9,13.0,"3,700","2,689","1,840","1,039",39.9,29.0,19.9,11.2,"2,016","3,830","2,157","1,687",20.8,39.5,22.3,17.4,"2,289",16.8,771,25.0,542,"43,309",6685,7087,155,140,5038,5180,1610,1865,87,96,97,82,9,5,185,148
AL,Cullman County,"80,406","83,768",990,"1,050",34,380,414,11.8,12.6,"15,322","16,584","13,719","6,162",29.6,32.0,26.5,11.9,"10,648","19,668","19,406","8,004",18.4,34.1,33.6,13.9,"10,088",12.2,"3,124",17.0,"2,176","50,897",41408,42360,616,594,40206,41117,859,728,628,608,307,459,54,53,1924,1828
AL,Dale County,"50,251","49,172",648,546,18,-89,-71,13.2,11.1,"6,976","9,159","10,857","4,398",22.2,29.2,34.6,14.0,"4,651","10,819","11,961","6,078",13.9,32.3,35.7,18.1,"8,727",18.1,"3,061",27.8,"2,079","45,120",24214,24958,646,715,18838,18652,5119,5880,455,428,418,645,76,96,1831,1619
AL,Dallas County,"43,813","37,196",438,542,5,"-1,002",-997,11.6,14.4,"8,524","9,646","6,568","4,004",29.7,33.6,22.9,13.9,"4,757","9,411","8,178","3,854",18.2,35.9,31.2,14.7,"9,533",26.0,"3,497",41.0,"2,356","34,034",17178,20018,152,187,5045,5518,12033,14479,128,96,116,100,15,16,237,192
AL,DeKalb County,"71,120","71,513",795,819,44,90,134,11.1,11.5,"15,469","14,549","9,194","3,528",36.2,34.0,21.5,8.3,"12,072","16,431","13,241","6,246",25.2,34.2,27.6,13.0,"12,848",18.2,"4,947",29.4,"3,859","44,277",35577,35936,836,783,33665,34157,905,855,1321,1261,271,226,266,232,5715,5059
AL,Elmore County,"79,272","81,209",932,821,25,67,92,11.5,10.1,"9,679","14,576","11,749","7,173",22.4,33.8,27.2,16.6,"7,503","18,232","16,298","14,060",13.4,32.5,29.1,25.1,"8,753",11.4,"3,159",17.7,"2,348","62,310",39236,41973,688,766,30303,32489,8679,9207,445,473,450,525,76,87,1289,1274
AL,Escambia County,"38,320","36,633",420,474,-1,166,165,11.5,13.0,"8,030","8,860","5,927","2,693",31.5,34.7,23.2,10.6,"4,878","11,308","6,449","3,224",18.9,43.7,24.9,12.5,"6,980",20.5,"2,191",27.1,"1,446","42,712",18425,18208,413,375,11628,11900,6183,5679,886,881,118,112,32,30,530,422
AL,Etowah County,"104,429","102,268","1,175","1,487",37,-62,-25,11.5,14.5,"18,115","22,531","19,811","9,372",25.9,32.3,28.4,13.4,"11,127","23,668","24,422","12,815",15.4,32.9,33.9,17.8,"18,801",18.8,"5,754",27.0,"3,945","43,047",49496,52772,927,965,40989,43299,8023,9073,714,678,531,542,190,173,2225,2005
AL,Fayette County,"17,235","16,302",174,225,5,-97,-92,10.6,13.7,"4,265","4,404","2,753","1,157",33.9,35.0,21.9,9.2,"2,037","4,831","3,387","1,451",17.4,41.3,28.9,12.4,"2,721",17.0,779,23.0,553,"44,212",7937,8365,133,131,6944,7288,1016,1064,76,70,32,73,3,5,172,163
AL,Franklin County,"31,709","31,362",432,367,29,-28,1,13.8,11.7,"7,904","6,363","4,572","2,021",37.9,30.5,21.9,9.7,"4,739","7,601","5,539","2,907",22.8,36.6,26.6,14.0,"4,989",16.1,"1,865",24.5,"1,303","44,874",15782,15580,280,248,14657,14608,900,728,401,370,78,79,32,49,3153,2453
AL,Geneva County,"26,781","26,271",278,365,-7,62,55,10.6,13.9,"6,046","5,626","4,390","1,526",34.4,32.0,25.0,8.7,"3,672","6,714","5,943","2,331",19.7,36.0,31.8,12.5,"4,180",16.1,"1,210",21.3,981,"43,089",12827,13444,257,270,11432,11957,1314,1402,257,262,68,81,19,21,584,511
AL,Greene County,"9,039","8,111",96,93,0,-101,-101,11.8,11.4,"2,182","2,165","1,205",652,35.2,34.9,19.4,10.5,"1,204","2,237","1,766",586,20.8,38.6,30.5,10.1,"2,553",31.7,803,45.8,572,"28,699",3829,4282,32,43,765,803,3052,3476,32,24,13,20,0,2,73,66
AL,Hale County,"15,762","14,651",190,181,-3,-103,-106,12.9,12.3,"3,683","3,803","2,247",858,34.8,35.9,21.2,8.1,"1,587","4,303","2,620","1,411",16.0,43.4,26.4,14.2,"2,956",20.5,"1,028",30.8,729,"40,745",6950,7701,48,55,3003,3052,3928,4622,42,41,24,34,3,8,111,98
AL,Henry County,"17,299","17,205",167,213,-1,79,78,9.7,12.4,"3,654","3,192","2,576","1,545",33.3,29.1,23.5,14.1,"2,509","3,961","3,622","2,076",20.6,32.6,29.8,17.1,"2,919",17.2,"1,005",29.2,718,"48,597",8309,8896,135,145,6121,6456,2171,2442,93,78,52,59,10,9,239,224
AL,Houston County,"101,560","105,882","1,304","1,137",11,936,947,12.4,10.8,"13,771","17,809","16,274","10,817",23.5,30.4,27.7,18.4,"10,076","22,558","23,893","15,672",14.0,31.2,33.1,21.7,"20,207",19.4,"6,601",27.8,"4,439","50,138",50628,55254,1106,1120,36290,38544,14043,16168,652,705,694,875,100,127,1920,1711
AL,Jackson County,"53,223","51,626",562,675,-7,128,121,10.9,13.1,"12,006","12,707","7,924","3,798",33.0,34.9,21.7,10.4,"6,218","15,177","10,429","5,175",16.8,41.0,28.2,14.0,"7,481",14.7,"2,049",19.6,"1,502","44,322",25367,26259,698,739,23868,24688,1086,1132,905,932,172,211,39,42,832,752
AL,Jefferson County,"658,567","658,573","8,422","7,343",460,"-2,375","-1,915",12.8,11.1,"82,950","121,233","123,142","106,833",19.1,27.9,28.4,24.6,"44,684","118,636","136,299","150,124",9.9,26.4,30.3,33.4,"104,288",16.2,"33,205",22.5,"22,124","54,127",311232,347341,4198,4566,173477,183602,132888,158314,2280,2466,6770,7440,287,384,14247,12626
AL,Lamar County,"14,564","13,805",159,172,-1,-64,-65,11.5,12.4,"3,759","4,036","2,125",838,34.9,37.5,19.8,7.8,"1,737","3,912","3,014","1,174",17.7,39.8,30.6,11.9,"2,070",15.3,628,21.6,423,"42,686",6760,7045,121,115,6057,6250,740,813,70,61,15,27,3,9,145,118
AL,Lauderdale County,"92,709","92,729",876,"1,136",35,355,390,9.5,12.3,"13,915","20,105","13,993","10,881",23.6,34.1,23.8,18.5,"8,026","22,873","17,759","14,948",12.6,36.0,27.9,23.5,"14,193",15.7,"3,632",20.4,"2,473","48,188",44490,48239,797,780,39549,42544,4702,5442,523,490,477,507,57,56,1313,1339
AL,Lawrence County,"34,337","32,924",349,428,-3,69,66,10.6,13.0,"7,872","9,029","4,270","1,723",34.4,39.4,18.7,7.5,"4,825","9,605","5,954","2,930",20.7,41.2,25.5,12.6,"5,773",17.7,"1,590",22.8,"1,100","47,797",16034,16890,778,821,13345,13937,1829,2063,1556,1605,75,91,18,21,403,376
AL,Lee County,"140,287","164,542","1,825","1,133",303,-112,191,11.1,6.9,"11,557","16,576","16,686","17,351",18.6,26.7,26.8,27.9,"8,849","23,026","30,907","34,273",9.1,23.7,31.8,35.3,"24,731",15.5,"4,849",14.2,"3,354","54,160",80840,83702,1391,1398,59282,59616,18083,21029,710,682,4074,3708,140,140,3217,2874
AL,Limestone County,"82,786","98,915","1,014",864,32,"2,545","2,577",10.4,8.9,"11,081","14,102","10,924","7,349",25.5,32.5,25.1,16.9,"10,098","20,044","18,829","16,971",15.3,30.4,28.6,25.7,"11,535",12.0,"3,552",16.3,"2,341","64,729",49444,49471,1162,1193,41023,41284,7649,7223,913,880,934,1191,119,136,3133,3016
AL,Lowndes County,"11,296","9,726",116,141,-1,-223,-224,11.8,14.3,"2,925","2,731","1,626",901,35.7,33.4,19.9,11.0,"1,529","2,800","1,696","1,037",21.7,39.6,24.0,14.7,"2,555",26.6,766,36.1,551,"33,930",4570,5156,34,37,1289,1296,3249,3829,34,38,27,30,5,1,85,96
AL,Macon County,"21,448","18,068",172,264,1,-162,-161,9.5,14.5,"4,188","3,486","3,664","2,617",30.0,25.0,26.3,18.8,"2,190","3,633","3,760","2,450",18.2,30.2,31.2,20.4,"4,817",29.3,"1,177",39.2,836,"34,281",8218,9850,105,151,1663,1662,6499,8173,73,88,90,75,5,11,188,155
AL,Madison County,"334,807","372,909","4,242","3,305",230,"4,721","4,951",11.5,8.9,"26,308","39,591","52,676","61,814",14.6,21.9,29.2,34.3,"20,562","51,126","70,137","105,935",8.3,20.6,28.3,42.8,"41,789",11.5,"13,373",16.8,"8,528","68,609",182366,190543,4837,5167,132437,133271,45496,52062,3215,3395,6075,7088,371,397,9959,9393
AL,Marengo County,"21,048","18,863",209,276,3,-129,-126,11.0,14.6,"4,020","5,351","3,223","1,732",28.1,37.4,22.5,12.1,"2,118","4,970","3,895","2,109",16.2,38.0,29.8,16.1,"4,601",24.8,"1,526",36.3,"1,080","38,838",8839,10024,92,100,4354,4601,4450,5390,64,66,40,50,25,19,275,253
AL,Marion County,"30,776","29,709",302,405,3,62,65,10.2,13.6,"7,962","7,107","4,823","1,719",36.8,32.9,22.3,8.0,"4,345","7,408","6,804","2,715",20.4,34.8,32.0,12.8,"4,883",16.9,"1,420",23.4,962,"44,675",14626,15083,192,188,13837,14457,752,567,160,156,61,76,12,18,434,366
AL,Marshall County,"93,019","96,774","1,395","1,155",65,303,368,14.5,12.0,"16,845","16,758","13,719","7,639",30.6,30.5,25.0,13.9,"11,761","19,920","19,887","12,387",18.4,31.1,31.1,19.4,"14,989",15.7,"5,132",21.5,"3,713","48,913",47717,49057,928,920,44884,46646,2195,1761,1030,927,390,519,177,164,7706,6566
AL,Mobile County,"413,139","413,210","5,443","4,576",266,"-1,821","-1,555",13.2,11.1,"58,223","79,822","65,452","46,625",23.3,31.9,26.2,18.6,"37,736","94,715","81,698","64,689",13.5,34.0,29.3,23.2,"71,784",17.7,"25,003",26.4,"16,366","49,492",196374,216836,3477,3567,121463,128475,70369,83186,3215,3408,4849,5452,239,233,6373,6070
AL,Monroe County,"23,067","20,733",199,278,-2,-249,-251,9.5,13.3,"4,939","5,285","3,341","1,813",32.1,34.4,21.7,11.8,"2,113","6,952","3,670","1,983",14.4,47.2,24.9,13.5,"4,770",23.3,"1,355",31.4,"1,001","40,005",9869,10864,181,197,5798,6015,3955,4745,223,230,65,70,12,6,165,182
AL,Montgomery County,"229,375","226,486","3,058","2,164",321,"-1,235",-914,13.5,9.6,"27,905","34,410","38,733","40,294",19.7,24.3,27.4,28.5,"19,978","37,648","42,690","50,254",13.3,25.0,28.4,33.4,"34,268",15.8,"12,087",23.3,"8,954","52,711",106394,120092,1516,1788,40607,42412,62343,74094,847,996,4076,4400,202,215,4344,4000
AL,Morgan County,"119,490","119,679","1,402","1,316",113,285,398,11.7,11.0,"17,347","22,252","20,242","13,490",23.7,30.3,27.6,18.4,"13,137","25,075","25,790","18,476",15.9,30.4,31.3,22.4,"16,146",13.7,"5,047",18.8,"3,374","54,355",58888,60791,1276,1339,50143,51430,8136,8752,1270,1249,520,651,139,116,5660,4806
AL,Perry County,"10,575","8,923",95,121,2,-124,-122,10.6,13.4,"2,625","2,119","1,533",701,37.6,30.4,22.0,10.0,"1,010","2,172","1,361","1,340",17.2,36.9,23.1,22.8,"2,778",33.9,851,46.2,613,"29,572",4152,4771,21,50,1322,1436,2777,3330,28,31,43,23,4,3,69,75
AL,Pickens County,"19,746","19,930",205,235,14,-33,-19,10.3,11.8,"4,108","5,110","2,995","1,323",30.3,37.8,22.1,9.8,"2,680","5,388","4,380","2,047",18.5,37.2,30.2,14.1,"4,380",24.3,"1,287",34.0,912,"40,249",10014,9916,122,90,6100,5663,3880,4223,67,47,42,48,49,29,666,378
AL,Pike County,"32,901","33,114",345,339,79,-210,-131,10.4,10.2,"5,472","5,312","3,655","3,264",30.9,30.0,20.6,18.4,"2,901","6,899","4,918","4,580",15.0,35.7,25.5,23.7,"6,742",21.8,"1,842",29.8,"1,165","41,271",15919,17195,337,332,9707,9916,5888,6994,245,241,407,361,27,31,424,378
AL,Randolph County,"22,916","22,722",254,285,-6,33,27,11.2,12.5,"5,618","4,723","2,942","1,479",38.1,32.0,19.9,10.0,"3,213","5,502","4,454","2,607",20.4,34.9,28.2,16.5,"3,906",17.5,"1,342",28.4,973,"42,922",11078,11644,187,209,8898,9188,2167,2432,122,134,62,88,21,14,358,324
AL,Russell County,"52,963","57,961",810,608,-49,26,-23,14.0,10.5,"10,749","10,594","7,654","3,110",33.5,33.0,23.8,9.7,"6,297","12,237","13,449","6,937",16.2,31.4,34.6,17.8,"10,823",18.9,"3,493",25.4,"2,553","43,670",27767,30194,781,788,14897,15432,12749,14479,460,458,401,547,123,147,1712,1666
AL,St. Clair County,"83,350","89,512",983,975,23,828,851,11.0,10.9,"12,353","14,921","11,036","4,791",28.7,34.6,25.6,11.1,"9,488","21,849","20,207","9,880",15.4,35.6,32.9,16.1,"9,780",11.2,"2,958",14.9,"2,047","65,403",44352,45160,650,696,39200,40367,4833,4459,458,452,496,549,47,60,1093,1092
AL,Shelby County,"195,253","217,702","2,237","1,626",137,"1,381","1,518",10.3,7.5,"12,386","21,671","25,479","34,649",13.2,23.0,27.1,36.8,"10,658","28,835","43,503","62,431",7.3,19.8,29.9,42.9,"13,428",6.2,"3,859",7.7,"2,648","77,801",105203,112499,1532,1585,88943,93637,14161,16282,956,949,2701,3229,137,142,6469,6166
AL,Sumter County,"13,763","12,427",136,163,27,-207,-180,10.9,13.0,"3,077","2,719","1,849","1,086",35.2,31.1,21.2,12.4,"1,076","2,860","2,408","1,744",13.3,35.4,29.8,21.6,"4,195",36.4,"1,055",45.3,724,"29,209",5684,6743,41,64,1555,1727,4050,4887,17,40,103,155,3,4,78,71
AL,Talladega County,"82,353","79,978",844,"1,044",32,14,46,10.5,13.0,"16,102","18,270","12,737","5,951",30.3,34.4,24.0,11.2,"11,014","18,881","17,721","8,377",19.7,33.7,31.6,15.0,"13,326",17.4,"4,041",25.1,"2,853","47,719",38479,41499,699,701,25711,26797,12650,14568,455,438,371,415,52,53,1112,801
AL,Tallapoosa County,"41,618","40,367",385,534,2,-18,-16,9.5,13.2,"8,489","9,348","6,524","4,012",29.9,32.9,23.0,14.1,"5,546","9,376","8,458","5,287",19.3,32.7,29.5,18.4,"6,341",16.0,"2,101",25.9,"1,465","47,100",19562,20805,280,274,14227,14739,5269,5970,197,192,150,172,28,35,558,463
AL,Tuscaloosa County,"194,667","209,355","2,431","1,872",221,261,482,11.6,9.0,"20,981","28,115","26,139","23,804",21.2,28.4,26.4,24.0,"15,036","38,580","35,780","39,660",11.7,29.9,27.7,30.7,"32,226",16.2,"8,526",19.7,"6,166","52,307",100780,108575,1369,1389,67705,69225,31462,37898,851,775,2140,2085,148,149,4421,3887
AL,Walker County,"67,020","63,521",750,969,-1,75,74,11.8,15.2,"15,713","16,647","11,183","4,376",32.8,34.7,23.3,9.1,"8,141","16,796","14,765","5,080",18.2,37.5,33.0,11.3,"10,837",17.3,"3,282",23.7,"2,347","45,991",30982,32539,544,480,28685,30037,2134,2353,447,364,234,242,63,47,923,758
AL,Washington County,"17,580","16,326",165,191,14,-65,-51,10.1,11.7,"3,112","4,904","2,255",969,27.7,43.6,20.1,8.6,"1,971","4,886","3,052","1,437",17.4,43.1,26.9,12.7,"2,998",18.6,"1,002",28.2,704,"48,864",8001,8325,96,138,5425,5561,1849,2047,647,787,168,58,17,23,138,126
AL,Wilcox County,"11,664","10,373",133,162,0,-197,-197,12.7,15.4,"3,228","2,414","1,528",809,40.5,30.3,19.2,10.1,"1,675","2,808","1,742",889,23.5,39.5,24.5,12.5,"3,329",32.5,"1,171",48.9,805,"30,998",4922,5451,48,40,1457,1485,3459,3959,29,32,26,15,3,4,80,69
AL,Winston County,"24,488","23,629",243,325,2,17,19,10.3,13.7,"6,387","5,855","3,425","1,411",37.4,34.3,20.1,8.3,"3,635","6,556","4,764","2,201",21.2,38.2,27.8,12.8,"3,882",16.7,"1,059",22.5,741,"40,827",11627,12002,197,197,11309,11716,200,174,224,215,62,79,38,22,413,368
AK,Alaska,"710,249","731,545","10,031","4,819",659,"-9,482","-8,823",13.7,6.6,"44,282","105,812","135,655","93,807",11.7,27.9,35.7,24.7,"34,376","134,582","169,609","142,019",7.2,28.0,35.3,29.6,"73,033",10.2,"23,110",13.2,"14,945","77,203",,,,,,,,,,,,,,,,
AK,Aleutians East Borough,"3,141","3,337",10,9,43,-103,-60,3.0,2.7,507,983,419,98,25.3,49.0,20.9,4.9,380,"1,137",798,301,14.5,43.5,30.5,11.5,492,14.8,33,13.4,21,"66,923",2253,1084,78,53,591,218,322,46,397,344,990,510,32,20,375,118
AK,Aleutians West Census Area,"5,561","5,634",38,7,53,-91,-38,6.7,1.2,913,"1,462","1,407",469,21.5,34.4,33.1,11.0,435,"1,611","1,378",703,10.5,39.0,33.4,17.0,414,7.6,34,5.4,23,"84,726",3716,1918,137,104,1482,617,389,71,440,351,1404,938,143,50,579,208
AK,Anchorage Municipality,"291,836","288,000","3,923","1,847",364,"-4,972","-4,608",13.6,6.4,"15,522","38,741","59,428","46,240",9.7,24.2,37.2,28.9,"11,701","44,936","65,951","69,282",6.1,23.4,34.4,36.1,"26,636",9.5,"7,383",11.0,"4,730","82,512",146468,141532,12021,12145,106070,98601,12864,11577,18751,20143,17106,19520,5162,5283,13854,13138
AK,Bethel Census Area,"17,013","18,386",403,150,2,-88,-86,22.0,8.2,"2,330","3,098","1,548","1,050",29.0,38.6,19.3,13.1,"1,871","4,550","2,216","1,164",19.1,46.4,22.6,11.9,"4,249",23.5,"2,013",31.6,"1,329","48,262",9485,8901,388,284,1356,1117,135,117,8186,7775,160,139,52,47,267,236
AK,Bristol Bay Borough,997,836,8,7,1,-46,-45,9.3,8.2,87,266,264,165,11.1,34.0,33.8,21.1,38,235,219,143,6.0,37.0,34.5,22.5,80,9.8,16,11.0,11,"87,950",438,398,93,78,274,227,23,13,207,208,27,24,3,5,33,29
AK,Denali Borough,"1,822","2,097",14,9,8,51,59,6.8,4.4,109,400,508,299,8.3,30.4,38.6,22.7,25,423,511,668,1.5,26.0,31.4,41.1,132,6.6,34,8.6,23,"78,434",1173,924,58,37,1011,813,42,21,100,68,75,57,4,3,45,35
AK,Dillingham Census Area,"4,847","4,916",87,42,1,-121,-120,17.6,8.5,620,900,699,436,23.4,33.9,26.3,16.4,396,"1,078",782,639,13.7,37.2,27.0,22.1,883,18.1,407,27.1,274,"57,436",2493,2423,226,229,619,574,47,36,1977,1984,60,52,19,9,79,103
AK,Fairbanks North Star Borough,"97,585","96,849","1,533",506,16,"-2,763","-2,747",15.7,5.2,"3,918","12,240","18,848","12,968",8.2,25.5,39.3,27.0,"3,406","13,993","25,045","19,402",5.5,22.6,40.5,31.4,"6,656",7.2,"1,773",7.9,"1,206","74,076",52095,44754,3426,3275,43112,36277,3836,2969,5825,5849,2534,2698,513,491,4372,3566
AK,Haines Borough,"2,508","2,530",20,7,0,28,28,8.0,2.8,184,517,564,395,11.1,31.1,34.0,23.8,46,558,621,625,2.5,30.2,33.6,33.8,247,9.8,65,14.4,46,"62,548",1261,1269,93,108,1105,1101,23,20,201,219,24,34,2,4,41,50
