State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
TN,Chester County,"17,145","17,297",181,159,7,25,32,10.5,9.2,"3,071","3,157","2,234","1,069",32.2,33.1,23.4,11.2,"1,642","4,342","3,337","1,770",14.8,39.1,30.1,16.0,"2,374",14.8,702,19.2,497,"50,769",8294,9003,154,176,7389,8035,887,949,94,110,77,83,8,7,227,271
TN,Claiborne County,"32,212","31,959",333,427,22,183,205,10.4,13.4,"8,029","6,966","3,404","1,801",39.7,34.5,16.9,8.9,"4,517","8,629","5,915","3,661",19.9,38.0,26.0,16.1,"6,021",19.7,"1,581",26.7,"1,007","40,116",15666,16293,226,226,15268,15880,269,240,194,172,154,222,18,15,235,224
TN,Clay County,"7,853","7,615",64,101,2,-29,-27,8.4,13.2,"2,339","2,169",734,381,41.6,38.6,13.1,6.8,"1,100","2,581","1,130",777,19.7,46.2,20.2,13.9,"1,514",20.1,423,28.1,304,"36,694",3735,3880,46,55,3646,3795,87,90,33,41,9,8,6,5,108,85
TN,Cocke County,"35,642","36,004",361,496,-10,292,282,10.0,13.8,"8,946","8,795","3,897","1,432",38.8,38.1,16.9,6.2,"5,137","12,073","5,584","2,980",19.9,46.8,21.7,11.6,"8,117",22.8,"2,937",41.3,"1,753","40,528",17462,18542,295,328,16839,17963,546,529,243,240,115,127,20,21,483,449
TN,Coffee County,"52,803","56,520",700,658,-20,623,603,12.5,11.7,"8,451","10,550","7,471","5,607",26.3,32.9,23.3,17.5,"5,473","14,478","9,960","7,699",14.6,38.5,26.5,20.5,"8,000",14.4,"2,779",21.0,"1,892","54,931",27579,28941,656,629,25964,27282,1530,1489,329,328,397,461,44,37,1343,1308
TN,Crockett County,"14,576","14,230",148,180,6,-40,-34,10.4,12.6,"3,379","3,610","1,820",881,34.9,37.3,18.8,9.1,"1,848","3,980","2,637","1,360",18.8,40.5,26.8,13.8,"2,213",15.8,759,23.3,513,"45,642",6767,7463,135,159,5715,6325,1047,1141,91,110,45,43,8,7,791,769
TN,Cumberland County,"56,060","60,520",512,843,20,"1,087","1,107",8.5,14.0,"9,242","11,955","7,812","4,586",27.5,35.6,23.3,13.7,"6,383","16,921","13,335","8,299",14.2,37.7,29.7,18.5,"7,929",13.3,"2,330",22.9,"1,573","49,142",29527,30993,358,373,28949,30383,351,290,343,380,201,292,54,38,998,907
TN,Davidson County,"626,558","694,144","9,985","5,565","3,453","-4,201",-748,14.4,8.0,"69,801","93,105","99,683","115,145",18.5,24.6,26.4,30.5,"51,843","104,775","119,927","197,817",10.9,22.1,25.3,41.7,"84,547",12.6,"25,243",18.1,"16,966","63,846",334350,359794,8500,9148,230772,239642,92043,107830,4099,4345,16039,17305,786,782,38120,34098
TN,Decatur County,"11,750","11,663",108,159,7,7,14,9.2,13.6,"2,999","3,293","1,354",601,36.4,39.9,16.4,7.3,"1,179","3,542","2,439","1,219",14.1,42.3,29.1,14.5,"1,827",16.0,541,23.0,385,"45,215",5714,5949,82,69,5442,5727,222,199,60,52,59,36,14,6,220,196
TN,DeKalb County,"18,722","20,490",219,226,54,310,364,10.8,11.1,"4,204","4,454","1,874","1,338",35.4,37.5,15.8,11.3,"2,803","5,774","3,183","2,360",19.9,40.9,22.5,16.7,"3,624",18.0,"1,105",26.0,740,"46,407",10208,10282,170,157,9833,9914,305,241,149,107,85,175,12,12,991,765
TN,Dickson County,"49,650","53,948",630,526,-10,407,397,11.7,9.8,"7,691","11,176","6,055","3,186",27.4,39.8,21.5,11.3,"5,934","15,227","9,348","5,890",16.3,41.8,25.7,16.2,"5,353",10.1,"1,672",13.8,"1,215","59,126",26481,27467,548,537,24938,26076,1509,1370,321,298,238,241,40,31,1069,1021
TN,Dyer County,"38,330","37,159",445,458,-1,-112,-113,12.0,12.3,"8,210","8,178","5,046","2,922",33.7,33.6,20.7,12.0,"4,114","9,910","7,376","4,109",16.1,38.8,28.9,16.1,"6,298",17.3,"1,944",22.6,"1,371","48,770",17920,19239,337,332,15175,16119,2744,3078,175,183,162,180,13,22,712,619
TN,Fayette County,"38,439","41,133",414,435,23,570,593,10.1,10.7,"5,581","6,634","4,352","2,424",29.4,34.9,22.9,12.8,"4,071","9,478","9,416","6,550",13.8,32.1,31.9,22.2,"4,527",11.2,"1,233",16.7,801,"67,345",20269,20864,190,229,14580,14725,5539,5985,147,179,188,197,17,18,661,593
TN,Fentress County,"17,962","18,523",184,260,-1,275,274,10.0,14.1,"4,819","4,188","1,327",941,42.7,37.1,11.8,8.3,"2,216","5,678","3,048","2,081",17.0,43.6,23.4,16.0,"3,799",20.9,"1,047",28.4,704,"38,608",9108,9415,90,123,8978,9295,76,87,103,105,45,45,5,9,141,150
TN,Franklin County,"41,064","42,208",413,456,40,276,316,9.8,10.8,"6,794","9,228","5,960","3,981",26.2,35.5,23.0,15.3,"3,569","11,426","7,609","5,950",12.5,40.0,26.6,20.8,"5,557",13.9,"1,489",18.2,"1,038","54,319",20692,21516,432,415,19261,20064,1359,1267,283,289,216,291,27,33,850,715
TN,Gibson County,"49,687","49,133",579,654,5,34,39,11.8,13.3,"9,546","12,870","7,016","3,319",29.1,39.3,21.4,10.1,"4,910","13,074","9,281","6,153",14.7,39.1,27.8,18.4,"6,834",14.3,"2,102",18.1,"1,454","46,384",23649,25484,443,448,19374,20502,4367,5117,209,183,135,119,25,23,750,625
TN,Giles County,"29,476","29,464",301,371,39,51,90,10.2,12.6,"5,445","8,461","3,831","2,092",27.5,42.7,19.3,10.6,"2,948","8,940","5,421","3,424",14.2,43.1,26.1,16.5,"3,834",13.4,"1,203",20.1,812,"50,847",14310,15154,325,335,12628,13447,1692,1738,179,189,126,103,22,22,446,447
TN,Grainger County,"22,656","23,320",222,296,-2,257,255,9.6,12.7,"5,674","5,279","2,147","1,110",39.9,37.1,15.1,7.8,"3,553","7,126","4,181","1,774",21.4,42.8,25.1,10.7,"3,939",17.1,"1,134",25.0,765,"44,929",11731,11589,140,143,11504,11398,179,171,136,107,48,44,8,12,476,316
TN,Greene County,"68,825","69,069",665,908,9,144,153,9.6,13.1,"13,292","16,388","8,486","5,586",30.4,37.5,19.4,12.8,"7,597","20,656","13,178","8,324",15.3,41.5,26.5,16.7,"10,706",15.9,"3,145",24.3,"2,229","44,975",33957,35112,456,467,32740,34037,1087,905,324,330,236,263,52,52,1123,977
TN,Grundy County,"13,726","13,427",158,177,0,97,97,11.8,13.2,"4,234","3,351","1,188",668,44.8,35.5,12.6,7.1,"2,412","3,829","1,927","1,240",25.6,40.7,20.5,13.2,"2,810",21.4,796,28.5,514,"38,447",6666,6761,87,85,6552,6636,80,62,86,111,36,35,3,3,87,90
TN,Hamblen County,"62,534","64,934",780,724,59,194,253,12.0,11.2,"12,062","12,989","9,055","5,234",30.7,33.0,23.0,13.3,"8,208","16,947","11,366","7,377",18.7,38.6,25.9,16.8,"9,165",14.4,"3,035",20.9,"2,109","46,842",31767,33167,661,655,29590,30956,1888,1835,492,451,379,485,114,114,4202,3672
TN,Hamilton County,"336,477","367,804","4,213","3,718",411,"2,595","3,006",11.5,10.2,"39,964","56,320","61,408","49,488",19.3,27.2,29.6,23.9,"26,708","68,323","77,151","81,692",10.5,26.9,30.4,32.2,"45,523",12.7,"13,966",18.8,"9,739","57,802",177544,190260,3426,3424,139315,146303,34449,40304,2230,2153,4828,4791,441,410,11744,10448
TN,Hancock County,"6,811","6,620",68,93,1,82,83,10.3,14.1,"2,034","1,477",637,469,44.1,32.0,13.8,10.2,"1,084","2,001","1,125",533,22.9,42.2,23.7,11.2,"1,701",26.4,487,35.8,339,"31,938",3256,3364,51,53,3213,3311,44,40,35,44,14,19,5,3,29,16
TN,Hardeman County,"27,245","25,050",218,289,0,-155,-155,8.7,11.5,"6,201","7,059","3,890","1,445",33.3,38.0,20.9,7.8,"3,709","8,523","3,950","2,039",20.4,46.8,21.7,11.2,"4,070",19.2,"1,123",24.1,817,"40,989",13797,11253,147,220,7675,6486,6059,4738,95,124,115,124,7,13,252,202
TN,Hardin County,"26,008","25,652",237,356,13,67,80,9.2,13.9,"5,837","6,886","3,199","1,722",33.1,39.0,18.1,9.8,"3,428","7,816","4,531","2,785",18.5,42.1,24.4,15.0,"4,413",17.5,"1,333",26.0,962,"44,510",12477,13175,198,190,11893,12577,519,539,178,146,85,96,5,10,393,293
TN,Hawkins County,"56,826","56,786",511,731,15,280,295,9.0,12.9,"11,010","14,720","7,687","3,729",29.6,39.6,20.7,10.0,"6,395","17,506","11,436","5,613",15.6,42.7,27.9,13.7,"10,113",18.1,"3,264",30.1,"2,094","46,602",27932,28854,333,367,27242,28134,584,540,277,298,159,241,15,23,490,458
